NAMES OF REVIEWERS,REVIEWS,DATE OF REVIEWS
"Joanne of Ventura, CA","Medical Guardian made me feel much safer. However, I haven’t been using it a lot. I just got stronger and I didn’t feel like I needed it all the time. But I keep it by my bed at night, so when I get up, I use it.","Original review: May 26, 2020"
"E. of Pa, PA","I live alone. My friend told me about Medical Guardian and she made me purchase one. Now, I feel safe when I go outside or in case I fall. I accidentally hit it one time, but then I straightened everything out. I’m okay with it.","Original review: May 25, 2020"
"Arlene of Douglasville, GA","My experience with Medical Guardian has been fine. So far, I haven’t had to use it, but I'm really pleased with it. I like just having this on my arm, and knowing if anything happens, all I have to do is mash the button and I’ll have help.","Original review: May 24, 2020"
"Helen of Jackson, MS","Having Medical Guardian makes me feel more secure. I have a fear of falling and it helps. However, when I tested it, the response team had my address wrong. I live in an apartment building and people have to have a number to get in the door. Still, we got that straightened out. Medical Guardian should be more accurate with the information they give their team.","Original review: May 23, 2020"
"Albert of San Antonio, TX","I’m 80 years old, and I am living by myself. My daughter is always worried about me. So by having one of these medical alert devices, she can be alerted. I was having trouble with the device I had before because it wouldn’t charge up. So I went to Medical Guardian because they were rated top of the line. I have no problem with the Medical Guardian being charged. But The first time that I accidentally activated the device, it took quite a while before they were able to relay the message. The one that I had before would instantly be talking to me to find out if I had fallen or what had happened to me. Other than that, I’m glad that there are three devices with Medical Guardian. I get a rash from the rubber on the watch so I don’t use it that often. But I wear the necklace and the one that’s on the belt all the time.","Original review: May 23, 2020"
"Carol of Niles, IL",I went out of my house a couple of times with my Medical Guardian around my neck. Wearing it was fine for me.,"Original review: May 23, 2020"
"Carole of Hardeeville, SC","I'm an old lady and I live by myself, so I thought that purchasing a Medical Guardian was a good thing to do. The price was right, too. I have it around my neck, and I'm good to wear it all the time. The quality is fine, but the only problem I have is that it has to be charged too often -- and at inopportune times. The charge does not last long enough. I sleep with it but it needs to be charged at different times. Sometimes, before I go to bed it has to be charged, so I won't have it in bed with me. When I was in the waiting room of my dentist's office several months ago, I, all of a sudden, heard somebody talking to me. I had my phone off, so I knew it was not the phone. It was somebody from Medical Guardian asking me if I was all right. I was so embarrassed because I had set it off accidentally. I should test it.","Original review: May 22, 2020"
"James of Central Point, OR","I had some falls and I was able to get up, but I figured I could have a bad one out in the yard and I wouldn't be able to get up. Having a medical alert device, I could get some help that way. Medical Guardian answered my questions and took care of me. I got the device I keep in the bathroom because that’s the place that quite often somebody falls and you can’t get the phone. I have it where I can reach it. Also, I usually put the device in my pocket when I go out in the yard or away from the house. Sometimes, I just carry my cellphone with me.","Original review: May 22, 2020"
"Mary of Chambersburg, PA","My neighbor has a Medical Guardian device and she talked me into it. I live in a retirement area and I feel very secure with it. I used it accidentally. I had it around my neck, bumped it to the washing machine, and it went off. It works. Response was right away. However, I put it through my clothes, and it hangs against my belly and it makes me cold. But I take it off at night and put it right the side of my bed on my nightstand. Also, my neighbor says she charges her device at night and it lasts about five days. Mine doesn’t, and maybe there’s something that should be checked. I also had called before because of the length of the chain that was sent to me. It's too long and I couldn’t adjust it. They sent me another one. This one is fine except that maybe there's any way I could have something that would not show at my neck. It’s just annoying. I’ve had neck surgery, and it pokes my neck. They have something for the wrist but it’s quite big and I don’t know if I want it.","Original review: May 22, 2020"
"L. of Tx, TX","We had a lot of inputs from various health people and we did a lot of research on our own. Medical Guardian seemed to be what would fit our needs the most. Their people did a good job of explaining things. I understood what we needed and what we got and all that. I test the button once a month and the response is excellent. We’re pleased with it so far. My husband doesn't wanna wear the pendant and the band but when I leave and I'm on a trip or gone for a night, he would wear them for my peace of mind. Everything has been okay.","Original review: May 21, 2020"
"Conchita of White Rock, BC","I wear my Medical Guardian device around the wrist because you never know, at 90 years old, you're going to fall. I live by myself, and my daughter lives in Phoenix, Arizona. So, she insisted I should have one of these. She's concerned because I'm by myself. I know a lot of people that have it on, and they're happy with it. I know if I need Medical Guardian, they'd be here.","Original review: May 21, 2020"
"Rose of Los Angeles, CA","My daughter got my Medical Guardian for me. It makes me feel safer 'cause I'm alone. If I fall down, I have the button which I can push and their team can come and help me up. Where I live, a lot of us are seniors who live alone and I would recommend them to get one.","Original review: May 21, 2020"
"Susan of Lewiston, ID","I have neuropathy in my feet, so I cannot feel very well on how I am walking. I also have a bad back hips, bad knees, and I lose my balance, which cause me to fall. For the peace of mind for my son, he tried to get me signed up on something. Then, I smartened up and went online, finding out that Life Alert was a bad one and that the best one was Medical Guardian. My first interaction with this company was great. There was no high-pressure with them like that of the Life Alert people. I, however, need another pamphlet on how to turn it on because I have not done that yet. I also would like to get another string for the necklace part because my cat bit through the little string that goes on the neck. The bracelet part also chafed my arm, so I took it off because it feels like it is cutting like a cutter.","Original review: May 20, 2020"
"Norma of Phoenix, AZ","I had been in the hospital for several months. I'm 89 years old and living alone. We felt a medical alert system was the best insurance I could have if I did fall. A good friend of mine uses the Medical Guardian service and was so pleased. I went on the internet and they responded quite fast. I tested the device when it was first installed and the response I got was wonderful. They were very prompt, thorough, and reassuring. With my Medical Guardian, I know that I have help at my fingertips or at my wrist should something happen. So far, I haven’t had to use it so everything is fine. And I hope I don’t have the opportunity to use you. But it is a very comforting and reassuring thing to know I have help that’s readily available. I also just recommended Medical Guardian to a neighbor of my daughter who’s using it and she’s very pleased.","Original review: May 20, 2020"
"Linda of Houston, TX","I was concerned about her falling or being alone most of the day, so I got something she could immediately get assistance from if she needed help. I looked at customer reviews of one of Medical Guardian's competitors. I liked the fact that with Medical Guardian you can press the button and you can actually talk to somebody immediately that monitors the system versus just having medical emergency personnel come out when it was an accident. What Medical Guardian will do is they’ll contact the family. There are several family contacts that they have listed, but they can reach one of us if it's something that definitely requires necessarily an ambulance.","Original review: May 20, 2020"
"Deborah of Cypress, TX","My mom was moving in with us and I was looking for some extra security. I searched online and found Medical Guardian. It's peace of mind knowing that if I'm not in immediate reach, my mother has kind of a backup plan if she needs me. She has accidentally pushed it once and they heard and responded. It's working well.","Original review: May 19, 2020"
"Ann of Franklin, NJ","My daughter got my Medical Guardian device for me. I’ve only had it for just two months now. A couple of times, I banged it on something. I was cooking, and when I moved across the counter, it hit the counter and it beeped, and it came right on and the responder said, “Is everything is okay?” They’re very good and very pleasant people. They said, “Okay, we’ll reset it. Don’t you worry. We’re here for you anytime you need us.” Also, I fell three different times and at one time, I could not get up and I laid on the floor for almost an hour trying to figure out a way to get myself back up again. And then, twice I fell trying to get out of the tub because I wasn’t balanced properly. I told them that and they said, “Oh, sure. Anytime you have any trouble at all, you call us. That’s what we’re here for.” I feel very safe with it. I’m so happy I have it now. I like Medical Guardian very much.","Original review: May 19, 2020"
"Natalie of El Cajon, CA","I ordered and installed a Medical Guardian device for my brother-in-law. I made my choice for it after reviewing 10 other ones. I felt that the whole package of product was more comprehensive and you didn't have to go buy something at the store to make up the difference that wasn't provided. Once I made my choice based what was available in the plan that I chose, it worked out much better for me. It was also simpler for me and the person that helped me was outstanding. He was so helpful, too. The total experience was very positive and when I ordered and worked with the representatives, they were very helpful. And the equipment was simple and straightforward. So far, it’s working properly, so everything is great. Plus, I've done tests with it where I've talked to the people that responded and they were very quick and efficient.","Original review: May 19, 2020"
"Sally of Springfield, OR","I was in the hospital for about a month and a half, and I live by myself. When I got out of the hospital, my son had the Medical Guardian device hooked around me. He paid for it for years. The first time we tested the device, my son told me I had to do it at the first of the month. Medical Guardian said, “Okay, no problem then. You don't need any help?” And I said no. Then, by my chair at home, there was a bracelet there with a black band. I thought it was my watch that I had left out there. I pushed that button to see why my watch wasn’t showing anything, and they came on. I said, “Sorry, I just made a mistake.” They were very patient with me.","Original review: May 19, 2020"
"Patricia of Lovettsville, VA",My son did a lot of research and decided that Medical Guardian was the one he wanted to get for me. I'm wearing it on my wrist because I like to hang my glasses around my neck. It's a little uncomfortable when I'm trying on clothes. It's leather and it's not that easy to hook up. But I would rather do that than have to wear it around my neck. My neck would be overloaded. And it suits me fine to have it on my wrist. Medical Guardian has done everything they promised they were gonna do. One thing though is that my son paid initially for the package and I was gonna be paying the monthly bills but I haven't seen any and I'm wondering what's going on with my account.,"Original review: May 18, 2020"
"Anita of Seabrook, TX",My daughter got Medical Guardian set up for me and I got it. I tested the device this month and the response was rather quick. I explained to the rep that I was fine and that I didn't need any help. They didn't need to send anybody because I was just testing the device. The rep said okay. I was told I have to test it every month to make sure it’s working. ,"Original review: May 18, 2020"
"Rodney of Columbus, MS","I looked on the internet and compared Medical Guardian against others, and got them based on my reviews. If I am away and my mother is incapacitated or can’t get up, she can at least push her buttons and get some assistance. I have tested the device several times. The reps have been very good. The only thing is even though I have good cell coverage here at my mother’s house, the base unit goes in and out on cell coverage. It’ll lose its coverage and then it’ll come back. It does that periodically throughout the day.","Original review: May 18, 2020"
"George of Hawthorne, NJ","I fell and nobody else was around. I pushed the Medical Guardian button and then I had to wait. I had to switch the call. With the protocol, it used to go to the kids first and if they weren’t around, it would go to the police. But I wanted it to go to the police right away because they always came fast with no problems. My daughter changed the protocol and the call goes right to the police headquarters. The cops have come two or three times. I had to wait a little, but it wasn’t too bad. The first time was really fast. I'd recommend it.","Original review: May 17, 2020"
"Vernon of Bath, IL","I fell and broke a vertebrae in my back and wasn't getting along too well at the time. Also, I'm by myself at night time. I had a Medical Guardian device a long time ago for my wife, and I decided maybe it was time that I get one. The last time I fell, I had to have help to get up and there were people here that day to help me. But if there hadn't been, I would be laying in the closet because that's where I fell in. I feel more comfortable having the device around and when I'm by myself, but I could get help if I did fall again.","Original review: May 17, 2020"
"Bonnie of Sacramento, CA","My brother seemed pretty impressed with Medical Guardian's record and we bought a medical alert device from them. It's for my father and we got it because he had fallen a couple times, and he has difficulty getting himself back up. He is in his late 80s and his health is not the greatest. So, we wanted something to where he could have immediate access to help and not have to rely on finding a cellphone. Every time I go over there, he’s wearing it and he makes sure it’s charged. So, it seems to be working really well for him. Other than that, Medical Guardian suggested that you could call when you’re first activating it and I was very impressed when I did. I got a person who talked to me and explained how things work and what to do.","Original review: May 17, 2020"
"Janice of Leroy, MI","Medical Guardian is a good service. It's working because if something is wrong, somebody calls me.","Original review: May 17, 2020"
"Thomas of Elk Grove Village, IL","I’m old and I’m living alone. In the past, I have fallen, but I haven’t in the last year and a half. I got a Medical Guardian and I got it hanging on me now. I don’t use it much. But everything is all right with my Medical Guardian. It’s okay. When I originally did it, if I signed up for a year, I would get a one-month discount. Then the woman I talked to said, “it’ll cost this much.” I paid upfront for a year but I never got that discount. So, I almost sent it back because of that, but I didn’t. When I know I’m gonna be around the house here and especially if I’m gonna be out in the yard trying to do something, I put it on. For what it’s advertised to do, it’s fine.","Original review: May 16, 2020"
"Janet of Harvey, LA","Our oldest daughter signed us up for Medical Guardian and got it all set up. She got it for me. I have some medical problems and can’t be left alone. She thought it would be a good idea for me to have that. I like it. I have no problem wearing it and I feel safe with it. I've used it twice - once, to check it and the other, when I fell. The response was great. They were right there. They wanted to know where I was hurt, they checked me over, and they wanted to know what hospital I wanted to go to. They didn’t just pick me up, put me in an ambulance, and bring me anywhere.","Original review: May 16, 2020"
"Joseph of Fitchburg, MA","I used to be a hunter and spend a lot of time in the woods. And then I would fall for no reason and in order to get up, I had to find a tree that was close by, which is easy in the woods of course so it didn't take too much. I never said anything to my kids about it. But then one of the girls that hunted with us saw me falling, and she told my son.","Original review: May 16, 2020"
"Carolyn of Grove City, OH","My son chose the Medical Guardian for me due to my age and sometimes, I get dizzy. We thought having an alert device would be a smart thing to do. I'm happy with my device. But there was a problem with the water filter. There's a water filter on the faucet and when I touched that, it set off the alarm three times. The last time it happened, I told Medical Guardian what was happening and they said to turn the device backwards when I am at the sink. I've done that and it didn't go off. The device also went off because I was trying to open a jar and I pulled that jar close to my torso and it set it off.","Original review: May 16, 2020"
"Barry of Boca Raton, FL","I was falling down once a month and I was concerned that when my wife is away, I would be alone. I wanted some security and got Medical Guardian. It’s a security blanket. I’ve tested it once when we put it in and the response was very quick and excellent. It’s a nuisance being around my neck sometimes, but it’s comfortable.","Original review: May 15, 2020"
"Alexandra of Galloway, NJ","My husband was hospitalized for 17 days. When he came out of the hospital, he was not able to walk very well anymore so he was a severe fall risk. It was very important for us to have the device because I had to work. At that time, I was away from home. Even though I work part-time, we still needed it. It gave me a sense of security knowing that he was able to call for help when I was gone. I made sure he always had his bracelet on. It doesn’t seem to bother him unless he had it on too long like overnight, or if he forgot to take it off and then it could get a little itchy under there. But most of the time, we just put it on when I leave the house. He had to use it a couple times when he fell so it does what it says it’s going to do, and it has been very reliable.","Original review: May 15, 2020"
"Alex of Naples, FL",My daughter got me a Medical Guardian device when I wasn’t well and I haven’t had a chance to use it except once. I hit it by mistake and the response was very good. I got a phone call and they handled it very well.,"Original review: May 15, 2020"
"Lavonne of Bloomington, IL","My Medical Guardian device works well. I haven't had to use it but I found that the pendant is very sensitive. It's called the paramedics when I accidentally bumped it. I have my wristband on when I needed it. I dislocated my hip while I was in the shower and it was the reason that I had gotten it. The device is fine, and I know that if I fall, there will be help.","Original review: May 15, 2020"
"James of Yucaipa, CA","The gal told me I should test the devices every now and then. I made a test for the one that hangs on my neck and it worked beautiful. I called them and they said, “Oh, we know it’s a test. That’s great.” But just now, I made a test for the one that goes on my wrist, and nobody seems to be responding. They usually respond pretty quickly. If I hit the button right here with the little light blinking on and off, their response is pretty good. But right now, they are saying, “We are working on this.” They’re not responding to me. I’m trying to tell them it’s a test. I don’t want somebody to send an ambulance out here.","Original review: May 14, 2020"
"Janet of Portland, OR","My husband had just died. My sister was leaving. She wanted to make sure that I had some assistance. I know I have friends here in the building that I can push the alarm and they would come. Unfortunately, sometimes I pushed it accidentally. But on the other hand, it does make me feel more confident. My friend, Ruth, on the fourth floor has come down and checked up on me and said, “Why did you push the button?” Medical Guardian has been a good service.","Original review: May 14, 2020"
"Kay of Centreville, AL","I live on the campus of a hospital. It has quite a few apartments for elderly people. The first couple of devices that I used came from the hospital and I liked the way they worked, but they were so heavy. I felt like I had a big rock around my neck all the time. I find myself hanging it on the back of a chair just so I wouldn’t have that weight around my neck. They worked well but I was looking for something that was much lighter. Also, one of the devices I previously had would go off for no reason at 2 in the morning. I didn't even have it around my neck. I told them but it didn't get fixed and that was another reason I wanted to change. One of my daughters found Medical Guardian and so far, everything is fine. The last time I checked it, the response was quick. I stay with it on. I’m always afraid that I’m gonna touch it and set it off and when I get in the shower with it, the hot water would set it off but so far, it hasn’t.","Original review: May 14, 2020"
"R. of Ma, MA","I’m 90 years old and I have a lot of aches and pains. I’ve had different companies over the years like GreatCall and Medical Alert. Medical Guardian is as good as any of them. Once or twice when I started, I was in contact with them and their response time was very good. But I don’t like the idea that I always have to carry with me the remote thing. The one I had before was on a necklace and I just had to wear that one item. With the Medical Guardian, I have to actually carry the remote speaker with me anywhere I go. That could be improved. It’s a simple thing and other companies do it. Besides that, everything is working fine.","Original review: May 14, 2020"
"Linda of St Clair, MI","I had several falls and my daughter was the one that looked into everything. She insisted I have a device. It was her that found and talked to Medical Guardian's representative. Apparently, she was happy with her. I pressed the device once by mistake and they answered right away. But everything else is fine. I don’t know what I did, but I had the one that goes around the neck on and that’s the one I accidentally set off. The machine worked quite quickly and I explained the problem and everything was fine. I feel secure with it. I’m liking it.","Original review: May 13, 2020"
"John of Des Moines, IA","The doctor told me that if I'd fall off outside or in the house, it could break my back. So, I feel pretty good with Medical Guardian on except I'd like to get one that would go farther than 600 feet. They got one that was just for the home and there was a 600 feet out from where the box is and then they got one for people that drive away from home. The watch came off while I was sleeping. I got the watch laying here on the table and I got the other thing around my neck. I have a broken hip and when I move around, the necklace keeps coming undone where I wear it under my t-shirt. The little magnets come undone and it falls down. Then when the electric goes off, this goes off too, and it blinks.","Original review: May 13, 2020"
"Lorraine of Matteson, IL","I called them last week because my green light was blinking. The rep told me that I might have the device too close to a window. I told her that nobody ever told me not to put it there. Bu no matter where I put it in my house, it’s pretty close to a window. So then we got if fixed. Other than that, I've had no need to use it. But the few times I tested it, they were right there. I have both the wrist device and the necklace. I wear the wrist one all the time and there is no problem whatsoever. I love it. I didn’t know my son was gonna get the wrist one, but I was very happy to see that he did. My son pays $29 or $39 a month for it.","Original review: May 13, 2020"
"Roy of Fenton, MO","We went with Medical Guardian for my grandmother after seeing that their pricing and reviews were better than other service providers. We test the device each month and when we press the button, the dial takes a little while. Sometimes, it'll connect immediately and other times, it would take about 40 seconds up to a minute. Also, it would nice if the wristband for the button had something my grandmother can talk through so if Medical Guardian's team can't hear her, they can automatically call. Still, the response we get is pretty good. It's also convenient for my grandmother that the device is simple and waterproof.","Original review: May 13, 2020"
"M. of Az, AZ","Ken has orthostatic hypotension so he passes out easily. If I wasn't home and he would have an episode, then we would have the device. We’ve called to do testing just to make sure and Medical Guardian was very quick to respond.","Original review: May 12, 2020"
"Kathryn of North Little Rock, AR","When I got too much low blood pressure in my body, I fell. I passed out and I stayed on the floor for seven hours until my daughters got home. My legs didn’t have any strength in them. I was so weak and the first thing they did was get this medical alert device. I'm okay now, but Medical Guardian makes me feel like I can go out in the backyard, walk around and do things that I couldn’t do before. Every once in a while, I call just to check to see if it’s working and it’s working good. They answer right away and my daughter would say she was just testing to see if everything was okay on it. They ask a few questions, and that’s it.","Original review: May 12, 2020"
"Gerry of Carlisle, PA","Medical Guardian was recommended by the company that was helping us with the medical things. I wear it around my wrist and I don't have any difficulty with it. I broke my legs, we used that for the ambulance to come and take me into the hospital. The response time was good. If I hadn't had it and had a broken leg like I did, I wouldn't have had anybody to take care of me. There was no way that I could have gotten the help I needed. It was very important to have it.","Original review: May 12, 2020"
"Judy of Kansas, MO","I have COPD. I am on oxygen full-time and living alone. If I fell or if I was having a breathing alert and couldn’t get my breath and I needed to get ahold of family, or neighbor, or police, or somebody, I needed to have some way of sounding the alert. I was interested in staying at home and having some kind of palliative care and the alert system. And I got Medical Guardian through Crossroads Hospice & Palliative Care. I don’t really notice the device when wearing it so it’s comfortable. I have it on all the time and I worry about possibly hitting it accidentally but I haven't really hit it.","Original review: May 12, 2020"
"Linda of Visalia, CA","I have more security having Medical Guardian. The only problem I'm having with it is the watch is really hard to get on. It’s rubber and I can get one side on, but it’s hard to buckle. Other than that, I have no problem with their reps.","Original review: May 12, 2020"
"Dora of Lebanon, ME","I have a wrist one which I like very much. I also have the one around the neck, but I don’t wear that and fortunately, they haven’t automatically gone off. I got it because of my age. In case something does happen, I want to do the right thing. Also, I’ve called in and I just tell them that I didn't need help. It was just a check-in phone call and they were very nice.","Original review: May 12, 2020"
"Candy of Mchenry, IL","My mother had passed away and William was alone at night. During the day, he’s in his house and has help. I thought that a medical alert device would be another layer of protection for him. However, when he fell, he forgot to use it. I’ve heard that that was an issue with any kind of alert system. But the Medical Guardian people were very informative and helpful.","Original review: May 12, 2020"
"Allan of Salt Lake City, UT","They did a good job during the setup, but I haven't had a chance to use it. The strap on the wrist unit broke too, so I can't even use it now. Still, my experience has been positive all the way so far.","Original review: May 12, 2020"
"Arnold of Williamsport, PA","I got a device from Medical Guardian in case I fall and my son's at work. That way, I’d have somebody come pick me up. I tested it twice and their response was good. It wasn’t rushed real fast and they had given me time to answer. I feel really safe having it. At least I got somebody getting me up. My son got his truck, so I know he gets home late, and the device gives me protection. It's wonderful and the one around the neck suits me fine. I also have the one for the wrist but I had never worn that.","Original review: May 11, 2020"
"D. of Ga, GA","My mom is getting older and she is getting a little bit of dementia. She worried about falling and being by herself if something happened, and she needed a help button in case. I then looked online and found Medical Guardian. Their customer service was fine. She, however, was a little disappointed in the way it looked. She thought it would be more like a necklace or something that would be a little more attractive, but I told her none of them that I could find looked like that.","Original review: May 11, 2020"
"Luann of Lancaster, PA","I went online and looked at a couple of companies. I looked at reviews and finally decided that I wanted Medical Guardian. We test it once a month and we’ve done that. We always try to do that on the 1st of the month and the people seem very nice, but I don’t think it picks up voices real well. I don’t think my mom picks up the voices very well from it either. We always stand beside it to test it because that’s the only way she can hear it and at first, it just says something about connecting. I said to my mom that that was not it and that she would know when she had a real human being. I also told her that if she ever had to use it, she was going to have to scream as loud as she could. ","Original review: May 11, 2020"
"Cherri of Cairo, MO","One of my aunts has Life Alert and she didn't like it. It had to do with the cost. She called me and told me that she was really worried about my other aunt. She kept telling her to get the medical alert device but my other aunt kept saying she couldn't afford it. I said I would just do it. In that way, I'll have peace of mind and so will my aunt. I pay for it.","Original review: May 11, 2020"
"Donna of Broken Arrow, OK","My mother has a Medical Guardian. I was looking online and they had a comparison study on the best ones, and Medical Guardian came up as the top choice. It was pretty easy setting up the service. It took just a few minutes. My mother said the device is fine as well. She wears it all during the day. She hasn’t had to use it. Everything’s gone good with it. The response was great too. They answered right away and everything worked out well.","Original review: May 11, 2020"
"E. of Pa, PA","I had been in the hospital and was discharged from in-house therapy. I live alone but I'm in a situation where if I fell, I could call my next-door neighbor with no problem or just call the township police so they would come by, unless I was unconscious. For my own reassurance and for the rest of my family, I decided to get something here at home in case I had a more serious problem. ","Original review: May 11, 2020"
"Jean of Imperial, MO","My granddaughter got me a Medical Guardian, which I wear around my neck. Most of the time there is somebody here with me, but she was afraid if I would fall and be by myself. Having it gives me security.","Original review: May 11, 2020"
"John of Summit, NY","When I got my Medical Guardian, we did the whole thing by the book and it worked. The response time is pretty quick. I was a paramedic for 20 years so I understand response time and how it can make or break the system. As far as that goes, Medical Guardian works fine. I wear it around my neck and it doesn't bother me at all. It gives a certain amount of relief knowing that even if I'm out walking around in the woods, I can get help if I need it.","Original review: May 11, 2020"
"Joyce of Hamilton, MI","I'm 80 years old and I lost my husband eight years ago, but I'm in perfect health except for blood pressure. I have a trailer at Camp Brown and I go there in the summer. Last summer, I was alone out there. In the middle of the night, I got up to go to the bathroom and I tripped and fell. I dislocated my little finger, but I got up and drove myself to the hospital. It was 3 o'clock in the morning. My kids then got a little concerned and they told me that if I was going to go back out, I had to have something. I got a Guardian device. I was at Camp Brown again a week ago, and I got no signal on my Guardian at all where I could call out. I finally got somebody and they said everything was working then I did it fine at home. Also, when I first got it, I accidentally pushed the button. I also pushed the button for a test, and they responded quickly. I was surprised.","Original review: May 10, 2020"
"William of Starke, FL","My Medical Guardian worked perfectly the times that I needed to use it. So far, so good. I went down in my bedroom trying to pick up a laundry basket. I fell and had insufficient leg strength to get back up off the floor. I used my device to summon a paramedic and they arrived in five minutes and helped me back up to my feet. The Medical Guardian reps were very pleasant and they seemed to be a nice group of people. The device helps me feel more secure. But it would be nice if they could lower their rental rate a little bit.","Original review: May 10, 2020"
"J. of Ca, CA","Fortunately, we haven’t had use for our Medical Guardian device, which is good news. My husband tested it at the beginning when it first was delivered. You push the button on the side. You hold the button, and push the big button on the middle. When my husband had to run errands and I am alone, which is not often, I put it on my neck.","Original review: May 10, 2020"
"S. of Pa, PA","I had a fall in December and broke my hip, and my kids thought we should have a medical alert device. My son researched and did all the checking to see which one was the best for us and I’m perfectly satisfied with Medical Guardian. I’m so thankful that I got it and thank God we haven't needed to use it at this point.","Original review: May 10, 2020"
"Rita of Bronx, NY","I stopped wearing a medical alert device because I purchased an Apple Watch but I realized I still needed it, so I went back to it. I had a bad experience with a company I previously had when I needed an ambulance and they took a very long time. And with another company, the pendant itself was a piece of junk. It kept falling apart. So I went to Medical Guardian. I wish that the pendant was smaller. It’s very clunky. But I've used it and the response time was excellent. Somebody stayed on the phone with me the whole time waiting for the ambulance to come, which I thought was great.","Original review: May 10, 2020"
"Ashley of Lee'S Summit, MO","I recently had a health issue and I was kind of by myself and having Medical Guardian was another precaution. I got the necklace but then, COVID came and my husband was gonna be working from home as well. Having it and not leaving the house was kind of silly, which was why I haven’t activated it.","Original review: May 10, 2020"
"Ruth of Manheim, PA","I blacked out on my porch one time and my granddaughter decided to get a Medical Guardian for me. It’s great. I got it on right now and it's like having somebody with me all the time. There's a sense of security. I will be 90 this year and a lot of times, I’m alone. If I fall or if I need help, I could get help right away. The reps are helpful, nice, and pleasant as well.","Original review: May 10, 2020"
"Jackie of Muncie, IN","My doctors told me I needed a security button. I’m diabetic so they're afraid that if I had a low or if I fell, I would need help immediately. I went to Better Business Bureau and did a search on there. I decided that Medical Guardian would be the best for what I needed because it has the roaming that I can do anywhere in the United States. I bumped my button a couple of times and it came off. They were immediately right there.","Original review: May 9, 2020"
"P. of Tn, TN","For my safety, I have the Medical Guardian. Their reps respond almost immediately when I test the device. Everything is working fine and I have no complaints.","Original review: May 9, 2020"
"Amy of Cuyahoga Falls, OH","My daughter was worried about me falling in the house, and then she found Medical Guardian. When I tested the button, it was fine. The response was very quick and to the point. I wear the device around my neck. I wear it to bed too because I get up at night to go to the bathroom, but I worry about rolling over and setting it off. Overall, having it is like an insurance.","Original review: May 9, 2020"
"Giovanna of Queens, NY","I had a hip replacement and it popped out twice. Fortunately on both times, somebody was home with me. But the fear was that if I was by myself, how quickly could I get somebody to help me. My daughter looked up alert online and Medical Guardian came up. The device has been very helpful. I haven’t needed it at all but it's just the peace of mind knowing that I have it. Usually, I put it on every day. But sometimes when I'm out walking to the door to get something random by myself, I would realize I forgot to put it on. Medical Guardian is great. I put it in inside my blouse so nobody sees it. It's not the most secretive piece but it's not meant to be. For what it is, it's perfect.","Original review: May 9, 2020"
"K. of Or, OR","We've seen others with more convenience and a wearable neck unit. I paid for Medical Guardian with three months of service and we want to terminate our contract with them. It's unusable in its present configuration. There's no wearable device and therefore, it's unreachable. If my wife fell, she would not be able to use it.","Original review: May 9, 2020"
"F. of Ca, CA","My kids have been nagging at me for a long time to get Medical Guardian, and I said I really have never felt a need for one. But then, back in November, I had an accidental freak fall in the living room and broke my left femur and left wrist. So, that laid me out for a while. I thought, maybe it's time. I'm wearing the watch, I'm thinking I may go to the necklace. And I wonder if I can just switch back and forth 'cause the back of it irritates the skin on my wrist. It's kinda rough. I move it up and down, but it's still irritating where it gets hot.","Original review: May 9, 2020"
"Geraldine of Green Bay, WI","I was concerned that I was very forgetful and my family was concerned about me. Having Medical Guardian makes my family feel better. The other night, I woke up and could hear voices in the living room. I wondered what was talking and then I realized that the unit was trying to talk to me. I had been sleeping, so I might have laid on it. Yesterday, I pushed the button because I got mixed up and I caused a small fire in my stove. There were firemen in the house and the fire was taken care of. I'm satisfied with my Medical Guardian experience.","Original review: May 9, 2020"
"Susan of Pine Beach, NJ","When I googled the devices, I saw that one had a better rate. I called and I liked what they had to say. So that's the one I went with. We were given both the wrist band and the necklace. He chose the wristband and it was easy to use the device and set up everything. You had to follow the directions which were very user-friendly. The only issue that we have is that we have a two-story house and the bedrooms are upstairs. I moved the box that would be alerted if there was an emergency to a center hall table. But even with that, if my husband fell upstairs, he'd have to yell pretty loudly and if he's knocked unconscious, obviously he can't. But Medical Guardian assured me that they would call out twice and if they would not get a response, they would automatically send the police, the fire truck and the ambulance – the whole gang would apparently come.","Original review: May 9, 2020"
"Norma of Munising, MI","I’m 90 years old and when I fell in January, I was in the hospital for four days. When I got back home, my kids were trying to figure out what I should do because I don’t have anyone who lives in the house with me outside of my cat and he’s no rescue thing. Towards the end of January, they had me get a Medical Guardian ordered. At first, I was good about always taking the thing with me and wearing it on my wrist then I got out of the habit of doing that. I fell again here on Friday of last week and I scraped my face and my hand.","Original review: May 8, 2020"
"Darlene of Coralville, IA","I live alone, I'm 85 years old, and I have frequent falls. My daughter-in-law got me a Medical Guardian device and since having it, I don't think about it anymore. I just know that I'm protected.","Original review: May 8, 2020"
"Pat of Bradley, CA","My daughter decided I get the device. I suffered a blackout and it happened as I was walking through the door from the garage to the kitchen. And when I collapsed, I hit my head on the top of a tile countertop. That was a year ago and I still am not completely recovered. I'm dizzy. I cannot get up and down the stairs without assistance. I suffered a subdural hematoma. It's one of those crazy accidents that only happen once in a million times that you've gone to a doorway. We tested the device around the 1st of the month. My daughter checks it when she comes out. She comes out every three to four weeks. She's an RN so she's aware of all of these things and she said, ""Okay, works just fine.""","Original review: May 8, 2020"
